id,name,time,text
4685944223434821,新浪财经,Mon Sep 27 07:40:26 +0800 2021,【财经早报 | #入职体检代检收费可达数万元#】更多资讯：十大券商一周策略，市场的第三股风正来临；#夫妻合伙诈骗亲友3200余万#；#女子怀孕七个月被公司称没产假劝退#；#辽宁电力供应缺口增至严重级别#；#官方通报江南布衣童装不当图案问题#；#俞敏洪回应近况#；更多>>网页链接
4685818377012748,理云鬓手工-弹指流光,Sun Sep 26 23:20:22 +0800 2021,#女子怀孕七个月被公司称没产假劝退#不婚不育，屁事没有。 青岛·新兴小区
4685822982883042,刘继兴,Sun Sep 26 23:38:40 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 公司没理由辞退怀孕员工。现在都签劳动合同的，本身就没有什么正式工和临时工的区别。扯临时工理由的，都是耍流氓。
4685943758390646,香港保险理财顾问-Yoyo,Mon Sep 27 07:38:35 +0800 2021,#女子怀孕七个月被公司称没产假劝退#上班路上🤰 香港
4685943380903564,噫唔吁北北恰,Mon Sep 27 07:37:05 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#
然后还各种推崇三胎 你让谁生 让男的生去吧🤭"
4685928508163315,弄弄弄颖,Mon Sep 27 06:37:59 +0800 2021,#女子怀孕七个月被公司称没产假劝退#笑死这样谁还敢生孩子
4685941929675329,双门洞的快乐源泉豹子女士,Mon Sep 27 07:31:19 +0800 2021,#女子怀孕七个月被公司称没产假劝退#这还怎么生，谁还敢生
4685941031307615,_liner_,Mon Sep 27 07:27:45 +0800 2021,#女子怀孕七个月被公司称没产假劝退#产假好像剖宫产的最长 6个月产假 顺产好像短点
4685939660556634,小猴仔5211,Mon Sep 27 07:22:18 +0800 2021,#女子怀孕七个月被公司称没产假劝退#希望以后的社会女人能更独立，婚姻自由，生育自由！不要越来越倒退！
4685938804917586,噢哟Q,Mon Sep 27 07:18:54 +0800 2021,#女子怀孕七个月被公司称没产假劝退#请曝光公司谢谢
4685937374660890,不加糖的bing白开,Mon Sep 27 07:13:13 +0800 2021,"#女子怀孕七个月被公司称没产假劝退#
我们单位简直太好了
产检假也都正常给
上班也挺轻松的
就是天津的产假，护理假，婚假时间全国最短"
4685934979975774,毛源-源,Mon Sep 27 07:03:42 +0800 2021,#女子怀孕七个月被公司称没产假劝退#闹成这样了，班还能继续上？留下了过不了多长时间公司也会找别的借口开除你，这就是结果。 还有网友说，辞退孕期员工违反劳动法，无论正式临时员工、孕期及哺乳期企业都不得辞退。也就是说临时工也一样享有法定的产假 闹成这样了才说尊重女性？早干嘛了？
4685744189474203,总裁精粹,Sun Sep 26 18:25:34 +0800 2021,"从经济方面和想获得家人尊重方面考虑，很多孕妈怀孕虽辛苦，也坚持去上班。因为只有上班，才能保障收入，才能让家人看到自己的勤快、上进、不矫情。
从健康方面考虑，很多女人怀孕后也会坚持继续上班。当然，出于这种目的上班的孕妈，最好做一些轻松的工作，适当活动，不要过于劳累。#女子怀孕七个月被公司称没产假劝退#"
4685816415392003,小小小飞鱼1号,Sun Sep 26 23:12:34 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 哎，还好决定不生孩子，把生孩子这个计划排除掉，人生轻松许多。
4685922006204863,纯粹芸和真实昔,Mon Sep 27 06:12:08 +0800 2021,#女子怀孕七个月被公司称没产假劝退#什么时候法律可以真正起到保护作用？
4685738870573532,魔法烧酒桃桃,Sun Sep 26 18:04:26 +0800 2021,#女子怀孕七个月被公司称没产假劝退# 真心希望科技发达，男人也能生孩子！🙏🏻
4685810760155622,这个小吴很强大,Sun Sep 26 22:50:05 +0800 2021,#女子怀孕七个月被公司称没产假劝退#本来找工作就已经很难了，能不能不要再为难女性了，要女性生育繁衍，又要女性自立自强赚钱，还要学会控制情绪不矫情，这些都做到了。这个社会现实就是没有给女性足够安全感和保障，毕竟维权的成本大于所赚取得到的。
4685724430108261,江南都市报,Sun Sep 26 17:07:03 +0800 2021,#女子怀孕七个月被公司称没产假劝退#【扩散！这些孕期、产期、哺乳期的法律常识，你一定要知道】近日，近日，河南郑州许女士怀孕七个半月，却要因为外编人员没有产假2次被劝退。按照《妇女权益保护法》第27条规定，任何单位不得因怀孕产假哺乳等情形辞退女职工。关于孕期、产期、哺乳期的法律常识，你知道多少？转发收藏！
